frame,time_seconds,log_energy,centroid_hz,bandwidth_hz,cepstrum_0,cepstrum_1,cepstrum_2,cepstrum_3,cepstrum_4,cepstrum_5,cepstrum_6,cepstrum_7,cepstrum_8,cepstrum_9,cepstrum_10,cepstrum_11,cepstrum_12,cepstrum_13,cepstrum_14,cepstrum_15,cepstrum_16,cepstrum_17,cepstrum_18,cepstrum_19
23,0.046000,6.081636,1479.349,1490.199,-11.662822,8.250722,-4.967319,2.554386,2.344130,5.624990,-3.277868,1.551795,2.488386,5.398187,-0.533747,2.104149,3.755135,4.336375,0.239267,2.399782,1.777895,2.124460,-0.161465,1.612935
24,0.048000,6.123978,1515.357,1515.442,-11.357635,8.105976,-4.849543,2.552665,2.674988,5.328300,-3.250615,1.434767,2.710540,5.202182,-0.522103,1.790508,3.857368,4.421354,0.442984,2.196220,1.856739,1.918060,-0.063077,1.658132
25,0.050000,6.158494,1546.986,1536.316,-11.032843,8.073881,-4.729680,2.604263,2.999901,5.059946,-3.202230,1.360927,2.924233,5.056796,-0.482909,1.575055,3.949696,4.499590,0.524056,1.913105,1.855546,1.701870,-0.038175,1.694804
26,0.052000,6.183679,1569.051,1549.509,-10.719551,8.116255,-4.649462,2.654289,3.288638,4.830239,-3.128124,1.306411,3.101672,4.953291,-0.417428,1.459620,4.045850,4.543931,0.484246,1.589639,1.805607,1.512899,-0.047608,1.709927
27,0.054000,6.198933,1578.923,1553.832,-10.457840,8.183252,-4.639057,2.677495,3.523527,4.643178,-3.026836,1.260996,3.212863,4.870651,-0.343045,1.420210,4.150928,4.546973,0.351472,1.272244,1.723185,1.362727,-0.067402,1.698058
28,0.056000,6.204068,1576.740,1549.909,-10.242776,8.285772,-4.658186,2.706891,3.717873,4.505861,-2.891028,1.246756,3.270001,4.821445,-0.255583,1.436819,4.260108,4.503285,0.157793,0.985518,1.595323,1.234763,-0.095598,1.646389
29,0.058000,6.198947,1564.999,1539.836,-10.072017,8.416449,-4.680887,2.747560,3.850491,4.377722,-2.760257,1.257345,3.273319,4.801610,-0.159824,1.478581,4.347197,4.400936,-0.064737,0.749456,1.426917,1.144917,-0.100513,1.584379
30,0.060000,6.183678,1547.450,1526.501,-9.945563,8.551594,-4.687452,2.794930,3.902086,4.220411,-2.677506,1.278064,3.221493,4.789564,-0.061169,1.526287,4.397514,4.244896,-0.281004,0.586495,1.245692,1.126183,-0.050442,1.546050
31,0.062000,6.159601,1527.452,1512.474,-9.837461,8.702759,-4.617235,2.892761,3.916780,4.064879,-2.628887,1.323812,3.137045,4.764467,0.041584,1.581047,4.417190,4.052963,-0.478324,0.495384,1.061921,1.166265,0.026006,1.509263
32,0.064000,6.129756,1506.935,1499.150,-9.770124,8.829063,-4.477742,3.033178,3.904504,3.925794,-2.613494,1.386954,3.022533,4.699013,0.137888,1.650761,4.425718,3.859109,-0.649003,0.484774,0.907152,1.257256,0.107693,1.472585
33,0.066000,6.098529,1485.921,1486.225,-9.768871,8.908260,-4.295947,3.200917,3.875335,3.830657,-2.618309,1.464515,2.875758,4.596967,0.218453,1.745753,4.433613,3.685181,-0.804727,0.550767,0.804040,1.377135,0.164203,1.430296
34,0.068000,6.070708,1462.846,1471.837,-9.830190,8.964296,-4.088188,3.392101,3.855581,3.829697,-2.611092,1.561733,2.689430,4.492291,0.281566,1.873569,4.434177,3.539356,-0.956666,0.678048,0.755982,1.492540,0.161500,1.370952
35,0.070000,6.049865,1435.927,1453.649,-9.971800,8.980963,-3.921184,3.547301,3.821734,3.929164,-2.596240,1.649987,2.428403,4.411095,0.323206,2.030308,4.408309,3.437755,-1.078733,0.873065,0.779818,1.610279,0.124667,1.341014
36,0.072000,6.037002,1404.310,1429.921,-10.192732,8.967251,-3.820072,3.644256,3.765859,4.139642,-2.561980,1.728283,2.083103,4.375234,0.348214,2.214330,4.340783,3.395548,-1.151080,1.117890,0.854529,1.724318,0.065274,1.361282
37,0.074000,6.029860,1368.997,1400.577,-10.491413,8.937429,-3.787420,3.683399,3.665595,4.444443,-2.506605,1.806773,1.659850,4.381621,0.362224,2.436381,4.240629,3.435037,-1.166126,1.388695,0.946996,1.833499,-0.019729,1.423228
38,0.076000,6.024186,1333.071,1367.781,-10.856123,8.902448,-3.845366,3.658920,3.494532,4.818009,-2.449694,1.875958,1.166565,4.419566,0.377143,2.706764,4.119700,3.576332,-1.122243,1.669611,1.021505,1.948609,-0.129788,1.509916
39,0.078000,6.016176,1301.512,1336.172,-11.235047,8.901620,-4.013859,3.592092,3.289000,5.279591,-2.407161,1.927169,0.640254,4.511939,0.404832,3.004613,3.961162,3.820204,-1.031624,1.929997,1.014853,2.078268,-0.249586,1.608252
40,0.080000,6.003799,1280.078,1312.082,-11.563693,8.985001,-4.302690,3.522810,3.110752,5.843964,-2.407786,1.959681,0.127635,4.686679,0.427225,3.289685,3.738997,4.143519,-0.929996,2.134475,0.871404,2.237498,-0.358215,1.718219
41,0.082000,5.986913,1273.453,1301.327,-11.805859,9.183924,-4.705920,3.490986,2.985847,6.480925,-2.485734,1.997256,-0.332834,4.956041,0.409270,3.547806,3.444271,4.492605,-0.883859,2.277394,0.594402,2.455693,-0.450942,1.855904
42,0.084000,5.966738,1284.235,1307.307,-11.916196,9.566378,-5.149930,3.573941,2.934117,7.178052,-2.633407,2.102817,-0.712981,5.321372,0.317979,3.792616,3.067189,4.781126,-0.990777,2.364537,0.197819,2.710790,-0.594912,2.005798
43,0.086000,5.944801,1312.546,1329.985,-11.929850,10.108769,-5.629350,3.772264,2.892857,7.890283,-2.875444,2.296125,-1.049544,5.747040,0.114675,4.056277,2.618721,4.979692,-1.274716,2.471403,-0.245556,3.019572,-0.803497,2.212058
44,0.088000,5.922224,1356.113,1366.155,-11.926104,10.728047,-6.177568,4.037516,2.772475,8.577973,-3.229842,2.567770,-1.402619,6.194122,-0.213786,4.366839,2.115722,5.115630,-1.690292,2.676131,-0.661952,3.402014,-1.057971,2.498323
45,0.090000,5.899286,1410.808,1410.777,-11.930000,11.329647,-6.751475,4.313153,2.570818,9.204887,-3.630926,2.879192,-1.765741,6.609179,-0.607911,4.700308,1.605202,5.206092,-2.135709,2.976625,-0.984176,3.800978,-1.331927,2.787671
46,0.092000,5.875739,1471.329,1458.397,-11.849995,11.718210,-7.163882,4.438855,2.445303,9.607792,-3.891829,3.059721,-2.001784,6.827754,-0.901167,4.896728,1.228534,5.169077,-2.433444,3.248363,-1.079774,4.074117,-1.527234,2.933300
47,0.094000,5.851689,1531.647,1504.026,-11.663170,11.812943,-7.343828,4.362704,2.459578,9.714801,-3.943312,3.035128,-2.064998,6.805494,-1.025641,4.899187,1.036000,5.015216,-2.532032,3.450716,-0.924688,4.196055,-1.625662,2.916857
48,0.096000,5.828771,1585.078,1543.348,-11.521883,11.811154,-7.472835,4.294484,2.438866,9.715166,-3.958969,2.978102,-2.124887,6.738777,-1.125664,4.870539,0.881379,4.912480,-2.589880,3.684228,-0.680243,4.286999,-1.734691,2.852214
49,0.098000,5.811422,1624.324,1572.471,-11.463984,11.760668,-7.573832,4.280730,2.371754,9.668646,-3.958403,2.929571,-2.188036,6.685266,-1.212437,4.851726,0.747254,4.882033,-2.648203,3.933346,-0.413057,4.370204,-1.863851,2.772466
50,0.100000,5.806944,1642.655,1587.931,-11.499525,11.665129,-7.642845,4.313723,2.284452,9.613585,-3.928783,2.901335,-2.222463,6.656331,-1.284085,4.846745,0.639287,4.904129,-2.704105,4.170239,-0.153227,4.452775,-1.997297,2.700116
51,0.102000,5.823417,1637.239,1587.855,-11.626781,11.522567,-7.689246,4.374421,2.199813,9.584377,-3.873547,2.896858,-2.205758,6.650525,-1.362168,4.842949,0.550559,4.952116,-2.748932,4.374180,0.080233,4.535655,-2.122591,2.661126
52,0.104000,5.865637,1612.363,1573.773,-11.817860,11.344447,-7.721069,4.446270,2.133405,9.597708,-3.819500,2.909161,-2.127302,6.669153,-1.475510,4.817449,0.470164,5.006448,-2.776184,4.524983,0.268638,4.604486,-2.234754,2.674432
53,0.106000,5.931738,1578.400,1551.194,-12.021271,11.164166,-7.730175,4.524170,2.092155,9.653503,-3.807588,2.923380,-1.992537,6.713931,-1.654371,4.740232,0.388168,5.062327,-2.781729,4.603185,0.393136,4.639813,-2.325307,2.750408
54,0.108000,6.013738,1546.592,1527.628,-12.194816,11.011623,-7.704427,4.610181,2.072241,9.742136,-3.868994,2.929028,-1.816709,6.785742,-1.914885,4.594173,0.307812,5.134133,-2.752868,4.605127,0.450235,4.633927,-2.381835,2.882128
55,0.110000,6.101167,1524.207,1509.132,-12.324614,10.901613,-7.638458,4.710155,2.064392,9.851532,-4.003951,2.931246,-1.611818,6.884575,-2.237831,4.397078,0.250048,5.241011,-2.676687,4.547004,0.450198,4.586696,-2.400523,3.045940
