frame,time_seconds,log_energy,centroid_hz,bandwidth_hz,cepstrum_0,cepstrum_1,cepstrum_2,cepstrum_3,cepstrum_4,cepstrum_5,cepstrum_6,cepstrum_7,cepstrum_8,cepstrum_9,cepstrum_10,cepstrum_11,cepstrum_12,cepstrum_13,cepstrum_14,cepstrum_15,cepstrum_16,cepstrum_17,cepstrum_18,cepstrum_19
22,0.044000,1.931028,2916.662,2378.191,-30.793406,9.540649,-1.337545,-0.620773,3.836484,-2.694386,-4.974924,-0.488585,0.103159,-1.936531,1.278086,1.635885,-1.291239,-0.816474,0.778520,-0.510355,-0.251614,-0.439537,1.195092,1.036935
23,0.046000,1.948539,2921.587,2376.971,-30.614584,9.654537,-1.282694,-0.425464,3.758798,-2.773956,-4.915670,-0.325781,0.075543,-2.404603,0.893793,1.910078,-1.088055,-0.906043,0.420244,-0.603937,-0.173410,-0.340854,1.077409,0.987161
24,0.048000,1.958981,2921.940,2373.161,-30.433723,9.783248,-1.201670,-0.217683,3.652811,-2.776529,-4.786795,-0.147742,0.072621,-2.812025,0.406576,2.124577,-0.820480,-0.970814,0.068611,-0.654482,-0.089401,-0.194793,0.891310,0.847693
25,0.050000,1.962376,2922.695,2367.864,-30.247341,9.901394,-1.141929,-0.030361,3.583250,-2.670238,-4.600863,0.001985,0.101461,-3.051020,-0.109637,2.230953,-0.545943,-0.995692,-0.226339,-0.669140,-0.040550,-0.041376,0.693636,0.685290
26,0.052000,1.959060,2925.746,2363.145,-30.032930,10.008194,-1.142056,0.092893,3.614119,-2.412160,-4.376493,0.073998,0.161919,-3.028297,-0.549377,2.211791,-0.304031,-0.950358,-0.396947,-0.636257,-0.037587,0.095540,0.545492,0.577030
27,0.054000,1.949654,2929.153,2361.035,-29.804546,10.109087,-1.176967,0.138496,3.744895,-2.018241,-4.121076,0.074577,0.254059,-2.740325,-0.837433,2.098672,-0.089940,-0.826494,-0.417304,-0.534531,-0.043822,0.206414,0.454006,0.554791
28,0.056000,1.935644,2927.796,2362.692,-29.616915,10.200152,-1.178107,0.133443,3.905901,-1.583861,-3.848815,0.054728,0.372887,-2.273519,-0.954311,1.946328,0.126510,-0.637871,-0.324807,-0.370219,-0.007990,0.290331,0.375108,0.588646
29,0.058000,1.919416,2917.653,2368.300,-29.514355,10.262873,-1.118910,0.114174,4.017929,-1.226696,-3.606075,0.050949,0.500717,-1.740693,-0.907798,1.784797,0.339539,-0.396575,-0.173364,-0.184382,0.083361,0.351776,0.276343,0.630751
30,0.060000,1.903568,2898.882,2377.206,-29.502987,10.274083,-1.022305,0.127605,4.046333,-1.028289,-3.447469,0.093898,0.625916,-1.249513,-0.710576,1.625148,0.495385,-0.115712,0.005621,-0.014444,0.208442,0.405846,0.177085,0.646541
31,0.062000,1.890128,2875.928,2388.236,-29.557899,10.221942,-0.931232,0.222208,4.010117,-1.028428,-3.416714,0.223710,0.751678,-0.903486,-0.392920,1.484503,0.523431,0.158782,0.207429,0.143825,0.329735,0.467130,0.138501,0.622326
32,0.064000,1.879563,2855.533,2400.367,-29.655428,10.119814,-0.869192,0.422065,3.954459,-1.228172,-3.530753,0.463429,0.885133,-0.773654,-0.014647,1.390745,0.391849,0.353842,0.432228,0.327026,0.411779,0.534232,0.211602,0.571840
33,0.066000,1.870803,2843.473,2413.094,-29.810070,9.996054,-0.802105,0.702790,3.887408,-1.574050,-3.748724,0.771100,1.009704,-0.855335,0.348676,1.342881,0.125946,0.434022,0.653215,0.538574,0.443259,0.609442,0.376618,0.508846
34,0.068000,1.862729,2842.417,2425.642,-30.038797,9.881212,-0.670398,1.009173,3.778095,-1.980417,-3.978253,1.068311,1.090152,-1.090714,0.643918,1.330769,-0.215574,0.406190,0.820047,0.728318,0.418293,0.699418,0.551020,0.415835
35,0.070000,1.856034,2852.091,2436.051,-30.303352,9.805506,-0.460003,1.279293,3.605506,-2.380622,-4.140446,1.293025,1.101378,-1.422757,0.849622,1.374964,-0.562411,0.270970,0.877886,0.839854,0.319883,0.792155,0.648880,0.259950
36,0.072000,1.854388,2869.214,2440.550,-30.533241,9.770854,-0.252086,1.429165,3.380372,-2.740686,-4.235619,1.388332,1.048059,-1.784369,0.968402,1.498240,-0.830618,0.045581,0.802054,0.867978,0.172052,0.879920,0.632864,0.046326
37,0.074000,1.863108,2886.498,2433.935,-30.636757,9.775723,-0.185557,1.384072,3.185797,-3.007132,-4.337996,1.288589,0.973686,-2.069839,1.014895,1.664794,-0.967638,-0.229951,0.611359,0.853237,0.027311,0.934448,0.493839,-0.179412
38,0.076000,1.886542,2894.198,2411.815,-30.544851,9.839058,-0.340190,1.125059,3.132700,-3.083727,-4.500955,0.951123,0.920936,-2.154485,1.033758,1.786637,-1.000471,-0.501808,0.382286,0.835303,-0.106318,0.904666,0.266325,-0.356582
39,0.078000,1.924909,2885.055,2373.347,-30.293983,9.980899,-0.624377,0.726490,3.244992,-2.918822,-4.684352,0.440760,0.910173,-1.982813,1.077536,1.815965,-0.968509,-0.707946,0.200291,0.823445,-0.252064,0.785180,0.048907,-0.441098
40,0.080000,1.973359,2857.373,2322.186,-29.998444,10.200006,-0.852439,0.314866,3.456187,-2.551867,-4.804969,-0.083084,0.966948,-1.591060,1.163183,1.789789,-0.852130,-0.809851,0.077633,0.818989,-0.383204,0.623150,-0.079518,-0.420252
41,0.082000,2.023591,2815.525,2265.232,-29.766184,10.459805,-0.918092,-0.037402,3.667101,-2.073356,-4.828310,-0.513223,1.089333,-1.047657,1.278754,1.741659,-0.649783,-0.816145,-0.027782,0.827622,-0.451820,0.459174,-0.096618,-0.292779
42,0.084000,2.067032,2768.134,2210.181,-29.670383,10.690457,-0.842309,-0.328645,3.790115,-1.595368,-4.789818,-0.840181,1.222767,-0.439108,1.396428,1.656674,-0.413910,-0.762065,-0.162683,0.839638,-0.443226,0.307187,-0.017666,-0.067717
43,0.086000,2.096885,2724.041,2164.048,-29.724768,10.839601,-0.695136,-0.543575,3.811745,-1.212210,-4.735291,-1.063447,1.302282,0.130755,1.505512,1.524233,-0.210551,-0.672910,-0.321617,0.839461,-0.381916,0.173291,0.127789,0.227382
44,0.088000,2.109104,2689.019,2132.455,-29.884138,10.879100,-0.565083,-0.632460,3.787331,-1.011517,-4.706318,-1.135670,1.289340,0.540450,1.625246,1.382216,-0.106184,-0.582466,-0.438186,0.821897,-0.324810,0.073338,0.337063,0.556833
45,0.090000,2.102472,2665.129,2118.964,-30.096134,10.795179,-0.523650,-0.558047,3.779047,-1.057238,-4.736787,-1.005254,1.191446,0.697252,1.777890,1.302560,-0.137139,-0.544878,-0.440910,0.797372,-0.337093,0.010780,0.627217,0.892849
46,0.092000,2.077990,2652.015,2124.717,-30.367865,10.602495,-0.537388,-0.347007,3.779514,-1.322075,-4.812570,-0.709476,1.044455,0.615518,1.948445,1.309424,-0.272567,-0.595094,-0.338836,0.762813,-0.434413,-0.038124,0.966273,1.218784
47,0.094000,2.038411,2648.074,2148.410,-30.733372,10.338946,-0.503075,-0.076051,3.716673,-1.722321,-4.878297,-0.353877,0.875753,0.380493,2.093125,1.372288,-0.451402,-0.730531,-0.195974,0.698908,-0.577601,-0.083774,1.278987,1.499866
48,0.096000,1.988032,2651.936,2186.567,-31.167263,10.054615,-0.362743,0.177474,3.537620,-2.183658,-4.889393,-0.017304,0.705483,0.062319,2.158047,1.461332,-0.627365,-0.938351,-0.074802,0.595894,-0.707835,-0.098410,1.492542,1.651971
49,0.098000,1.932575,2663.502,2233.546,-31.586891,9.795351,-0.155766,0.362449,3.281996,-2.622633,-4.858826,0.248949,0.567571,-0.287830,2.084542,1.557642,-0.736902,-1.178777,-0.038740,0.436225,-0.747293,-0.001450,1.569672,1.575250
50,0.100000,1.878218,2682.681,2281.434,-31.925518,9.584816,0.031290,0.481096,3.078439,-2.938353,-4.860362,0.397552,0.524710,-0.599341,1.839088,1.631806,-0.697156,-1.356618,-0.104718,0.198916,-0.645310,0.281182,1.549170,1.267461
51,0.102000,1.830119,2708.681,2321.646,-32.144482,9.442023,0.112738,0.527528,3.035375,-3.030033,-4.934466,0.404189,0.623690,-0.789703,1.459122,1.634609,-0.509034,-1.382910,-0.178010,-0.056586,-0.424037,0.698308,1.503213,0.862057
52,0.104000,1.791936,2739.023,2347.150,-32.196373,9.396250,-0.010519,0.404091,3.172118,-2.784191,-5.022304,0.228269,0.798918,-0.804576,1.069618,1.519040,-0.316627,-1.271281,-0.118454,-0.185458,-0.149954,1.066670,1.441057,0.534523
53,0.106000,1.766039,2769.141,2354.229,-32.099598,9.447639,-0.333730,0.059940,3.423324,-2.164987,-5.001792,-0.137254,0.916251,-0.665059,0.804403,1.312487,-0.240121,-1.102755,0.106188,-0.099759,0.138506,1.259144,1.341932,0.385482
54,0.108000,1.753714,2794.449,2343.587,-31.971832,9.539091,-0.700316,-0.390847,3.664435,-1.347955,-4.812912,-0.568078,0.956734,-0.464558,0.641413,1.066068,-0.218047,-0.897953,0.364568,0.099382,0.443308,1.343740,1.239890,0.382094
55,0.110000,1.754996,2813.555,2320.231,-31.873739,9.617377,-1.004212,-0.824572,3.798978,-0.569349,-4.498254,-0.950339,0.971778,-0.249141,0.534670,0.794881,-0.198915,-0.670677,0.538896,0.291054,0.765415,1.416172,1.177331,0.474624
56,0.112000,1.768192,2827.784,2291.972,-31.768879,9.663714,-1.248146,-1.162318,3.810417,-0.009140,-4.149999,-1.226016,0.997711,-0.024638,0.508086,0.519094,-0.220445,-0.468507,0.613915,0.430199,1.081353,1.508135,1.152902,0.608195
57,0.114000,1.789440,2838.755,2266.871,-31.577614,9.701611,-1.469981,-1.342168,3.750208,0.222834,-3.855310,-1.340554,1.049540,0.163118,0.592437,0.293594,-0.339976,-0.353106,0.642965,0.508466,1.310975,1.589610,1.142997,0.702036
58,0.116000,1.813211,2847.022,2251.092,-31.264416,9.768009,-1.681034,-1.337983,3.692760,0.121589,-3.669739,-1.273652,1.127506,0.237327,0.752229,0.171037,-0.562891,-0.370154,0.676058,0.547081,1.373723,1.591481,1.137576,0.726060
59,0.118000,1.833502,2852.563,2247.776,-30.885101,9.876318,-1.850537,-1.195540,3.658706,-0.213488,-3.590515,-1.072654,1.213416,0.161043,0.892457,0.138895,-0.833937,-0.504824,0.716500,0.579966,1.281976,1.478799,1.139480,0.734362
60,0.120000,1.846243,2855.103,2256.447,-30.533346,10.012853,-1.936935,-0.998674,3.613963,-0.638707,-3.550269,-0.794589,1.274900,-0.043730,0.937679,0.134734,-1.097341,-0.692004,0.741370,0.598595,1.101012,1.293526,1.159163,0.778893
61,0.122000,1.850723,2855.587,2273.373,-30.270451,10.144518,-1.940617,-0.821717,3.525162,-1.040020,-3.488956,-0.470219,1.290496,-0.327527,0.870221,0.125356,-1.309226,-0.874644,0.726434,0.575464,0.895886,1.104251,1.197958,0.852533
62,0.124000,1.850050,2857.293,2292.511,-30.102386,10.239407,-1.907982,-0.707904,3.393357,-1.365782,-3.421020,-0.132422,1.263242,-0.637734,0.702613,0.121002,-1.422092,-1.017758,0.656507,0.506973,0.736198,0.963691,1.234473,0.902574
63,0.126000,1.849342,2865.458,2306.896,-30.000294,10.284437,-1.898119,-0.668723,3.254670,-1.602085,-3.416209,0.166804,1.224149,-0.923518,0.438028,0.119208,-1.399008,-1.089572,0.527888,0.402424,0.677389,0.898767,1.243055,0.883008
64,0.128000,1.853502,2884.648,2310.541,-29.931643,10.285513,-1.947807,-0.698839,3.147078,-1.743952,-3.540182,0.362084,1.202010,-1.137812,0.085482,0.083151,-1.247726,-1.065033,0.357501,0.268972,0.724451,0.901711,1.214672,0.785946
65,0.130000,1.865286,2915.898,2300.374,-29.879765,10.256865,-2.066101,-0.805710,3.082860,-1.759920,-3.787025,0.396218,1.185029,-1.241011,-0.291419,-0.018648,-1.043222,-0.970252,0.179595,0.125781,0.829750,0.920718,1.160658,0.654988
66,0.132000,1.883792,2955.928,2277.553,-29.829918,10.226163,-2.241536,-1.014844,3.048790,-1.602682,-4.093086,0.222824,1.117046,-1.215958,-0.586779,-0.174548,-0.888069,-0.890378,0.023485,0.015326,0.940677,0.872285,1.073935,0.551376
67,0.134000,1.905053,2997.560,2247.202,-29.795528,10.211340,-2.424639,-1.318340,3.016056,-1.276073,-4.396957,-0.154175,0.967278,-1.094135,-0.759044,-0.357547,-0.830295,-0.898392,-0.120665,-0.047084,1.045340,0.727821,0.941188,0.493430
68,0.136000,1.924038,3032.761,2216.807,-29.834721,10.191702,-2.540210,-1.651858,2.948824,-0.875479,-4.676848,-0.660977,0.778108,-0.936041,-0.858468,-0.562243,-0.850132,-0.992100,-0.280814,-0.114330,1.137687,0.543874,0.791562,0.462373
69,0.138000,1.937072,3055.490,2193.855,-29.965710,10.141018,-2.558528,-1.936203,2.850984,-0.514847,-4.924310,-1.190586,0.609246,-0.786886,-0.906265,-0.768758,-0.934714,-1.138230,-0.440250,-0.237014,1.188615,0.390369,0.669136,0.436642
70,0.140000,1.944142,3059.558,2183.702,-30.103786,10.076573,-2.494539,-2.060036,2.810056,-0.271347,-5.109159,-1.602591,0.497375,-0.683232,-0.841718,-0.900101,-1.088511,-1.291266,-0.500759,-0.402991,1.154330,0.317104,0.603230,0.376713
71,0.142000,1.948967,3038.226,2188.452,-30.090372,10.096743,-2.318060,-1.867484,2.977648,-0.132612,-5.151822,-1.741096,0.489268,-0.616796,-0.562525,-0.824960,-1.247907,-1.365552,-0.319413,-0.515530,1.032486,0.358928,0.626148,0.271551
72,0.144000,1.956966,2986.979,2206.200,-29.883430,10.246590,-2.005928,-1.352268,3.354729,-0.057269,-5.020531,-1.620906,0.561557,-0.566782,-0.084900,-0.524481,-1.324966,-1.314472,0.117539,-0.502494,0.848907,0.484724,0.726634,0.156037
73,0.146000,1.972164,2907.801,2231.008,-29.595037,10.450191,-1.613394,-0.692732,3.757593,-0.039020,-4.758744,-1.413891,0.591496,-0.560257,0.440855,-0.144562,-1.321402,-1.189651,0.662853,-0.412188,0.590692,0.604582,0.825974,0.036105
